Year,Country,Maternal Mortality Rate ,Skilled Birth Attendants,Healthcare Access,Income Level,Education Level %,Maternal Health Services %,Contraceptive Prevalence %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2030,South Korea,159,4396,409,28934,36,52,99,42,13.4233,79,23,86,22,4.709,78.346
2019,Russia,210,4554,458,62712,19,73,75,85,7.8517,68,14,81,17,6.063,52.061
2021,Tajikistan,141,1089,289,9913,57,64,53,91,14.2952,72,24,77,39,4.615,46.579
2017,China,289,6221,165,7026,78,100,85,95,3.5578,34,27,86,37,6.764,59.516
2024,Malaysia,707,9853,382,66645,48,83,51,77,7.2851,72,10,83,42,1.952,59.747
2028,Venezuela,340,7071,457,95529,51,97,78,65,5.3603,30,38,90,47,3.784,64.68
2016,Indonesia,1175,9503,117,99471,35,74,46,44,4.9814,77,42,87,20,2.857,41.876
2021,Indonesia,812,6315,118,98821,53,88,35,43,5.1103,70,30,81,40,1.903,55.881
2029,Lithuania,262,4926,222,57629,65,85,30,65,8.2103,52,48,65,37,4.664,54.219
2024,Sweden,699,297,187,33939,45,59,57,68,14.1542,40,44,74,43,6.556,59.297
2029,Netherlands,1107,850,177,64360,84,69,43,46,6.6486,75,33,67,35,5.926,78.64
2025,Mexico,352,3877,381,73490,50,96,34,43,7.6177,50,18,65,38,2.048,87.322
2026,Philippines,1063,6292,166,19861,26,77,44,93,12.3644,40,33,87,30,3.736,58.54
2029,Indonesia,841,9047,462,3600,61,70,34,90,14.8873,63,22,80,31,5.159,41.839
2020,Namibia,558,9104,212,67535,64,81,61,90,14.8633,58,32,86,29,3.28,82.586
2023,Peru,552,3355,413,58735,69,91,89,58,3.0445,33,19,60,37,1.124,41.955
2018,China,944,6668,159,27471,51,57,43,62,8.5648,48,45,65,43,1.507,47.55
2030,Thailand,118,2753,317,21869,27,55,75,86,8.5031,58,14,90,20,2.798,56.59
