Year,Country,Infant Mortality Rate %,Healthcare Access %,Income Level,Education Level %,Vaccination Rate %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2015,Lithuania,31,24,122642,93,2,63,5.7385,1,63,94,34,3.939,78.72
2025,Brazil,89,96,165890,15,83,31,4.5656,94,72,56,14,4.492,68.3
2024,China,49,88,142512,7,87,12,5.6161,11,73,12,48,5.731,99.273
2016,Botswana,28,33,31126,37,82,34,12.1896,62,78,91,16,3.965,7.443
2020,Japan,65,45,121055,9,72,30,7.2762,19,79,94,37,5.104,35.045
2018,Russia,38,75,42910,49,80,6,6.1603,77,62,99,47,1.351,6.974
2016,United States,74,55,56278,72,80,87,14.6801,48,46,82,38,5.99,38.785
2024,Poland,26,72,11205,78,40,93,5.3646,68,98,74,50,1.597,82.663
2026,Philippines,74,42,124730,72,28,21,13.1013,61,37,37,13,1.587,77.502
2025,Poland,43,35,92721,19,30,11,11.8433,94,24,17,47,3.561,55.668
2019,Portugal,38,67,110020,89,9,97,9.249,6,43,60,13,1.902,41.474
2030,Indonesia,71,40,2505,31,19,22,7.7708,32,77,7,45,5.52,10.47
2028,Syria,97,19,141643,56,45,33,8.9861,38,92,39,17,4.257,20.033
2020,United States,81,66,116278,91,39,55,11.1559,58,25,18,35,6.007,29.514
2026,Paraguay,20,79,19127,6,21,56,12.988,6,88,99,22,2.223,34.547
2019,Bangladesh,18,81,112680,73,96,77,8.7999,73,81,86,23,5.692,6.343
2027,China,51,59,199939,52,59,90,9.5184,66,21,82,33,3.474,4.394
2028,Philippines,59,60,119752,38,57,59,11.8578,36,100,0,50,5.358,38.106
2026,China,94,93,178107,14,63,11,11.9957,49,71,2,34,2.221,47.879
2024,Indonesia,82,82,186391,37,47,7,3.7044,14,54,71,37,5.499,39.811
2020,Indonesia,88,44,158558,78,45,98,3.4827,25,32,62,25,2.057,9.018
2025,Philippines,63,77,187479,3,100,69,3.9392,73,38,63,33,1.681,72.682
2026,United Kingdom,99,47,166437,82,98,67,12.068,3,26,83,18,4.714,23.465
2025,China,30,88,61699,24,26,6,8.1335,22,99,40,17,2.711,75.646
2026,China,54,97,10884,25,63,57,9.6973,14,15,47,14,4.443,18.878
2025,Indonesia,58,79,59569,70,33,29,13.1264,1,98,53,43,4.211,58.241
2017,Sweden,85,37,134225,58,1,33,9.5771,63,10,48,36,3.701,56.218
2029,China,7,22,176024,99,74,93,9.3294,24,64,56,49,1.824,65.18
2022,China,99,0,179916,94,76,37,3.1151,56,34,54,32,6.394,99.495
2027,Norway,43,95,3581,90,83,16,12.131,18,23,40,24,1.187,65.538
2025,Ukraine,40,55,123669,65,46,63,7.6537,10,37,8,45,1.979,3.872
2026,Sweden,76,55,70923,29,61,4,10.9016,2,58,99,17,1.313,23.413
2030,China,77,81,56074,65,48,17,8.6628,100,14,86,46,3.399,17.864
2027,Indonesia,98,76,131876,10,64,75,13.073,51,54,34,14,6.097,56.446
2026,Argentina,41,75,76307,84,89,58,12.5818,65,26,24,40,1.028,64.66
2023,Sweden,22,85,79406,12,4,45,14.4382,29,95,47,27,4.148,97.875
2026,Iran,59,7,120403,49,29,27,11.2938,45,99,77,14,6.957,87.232
2030,Portugal,16,85,92249,65,70,91,10.2392,94,12,97,24,6.587,51.516
2027,Czech Republic,93,52,49742,37,61,71,14.5524,53,31,25,28,4.594,96.529
2015,Albania,52,37,27111,8,75,63,7.1114,55,90,51,40,1.607,98.927
2022,Japan,24,76,18904,66,96,92,11.2214,80,40,77,37,1.029,28.936
2020,Albania,98,53,64751,76,57,95,11.6478,49,51,46,46,2.068,52.361
2017,Philippines,20,79,42587,10,10,52,12.4542,65,93,27,14,1.402,86.775
2017,Angola,39,61,79756,75,56,21,3.8645,17,59,25,22,2.784,74.499
2029,China,39,80,152948,98,63,15,5.253,28,36,14,15,1.664,60.897
2026,Portugal,69,35,161604,53,52,65,4.7371,96,20,42,40,2.363,19.651
2024,Japan,54,6,126199,43,37,60,9.0011,63,43,15,23,2.446,12.61
2020,Costa Rica,33,96,70728,74,89,29,5.0114,59,70,100,25,4.868,39.082
2020,Argentina,34,48,81804,81,82,38,14.097,42,25,27,40,5.499,10.631
2021,Indonesia,94,84,87630,5,19,66,6.5846,57,31,88,25,2.172,83.431
2018,China,41,93,176301,48,82,100,12.5022,64,67,64,28,1.622,49.312
2029,Poland,85,68,73001,52,14,36,8.2057,5,73,82,31,3.81,98.701
2025,Brazil,68,64,117398,36,44,83,5.8786,56,13,29,20,4.221,12.759
2015,China,62,10,8800,64,77,100,4.4815,58,52,8,44,3.729,59.759
2024,China,4,17,16699,99,71,7,7.7273,27,21,18,50,2.524,40.349
2015,Georgia,67,36,72150,50,22,5,9.2895,16,57,58,25,5.238,29.293
2028,Cambodia,51,40,77632,8,48,84,12.2426,53,22,43,18,2.121,95.594
2023,Uganda,3,41,34336,80,95,63,13.4024,71,53,96,35,6.63,37.548
2017,Serbia,36,40,107924,50,96,4,11.6135,44,37,23,14,4.943,85.386
2025,Poland,69,97,54809,1,82,28,10.6673,42,90,72,19,3.89,99.297
2018,Haiti,36,57,171372,88,57,28,7.1001,45,23,73,50,4.765,77.695
2016,Morocco,25,34,46024,7,96,16,9.6577,13,17,49,37,1.746,74.742
2020,Mongolia,63,79,10557,25,89,49,8.1903,77,21,70,16,3.207,72.21
2028,Russia,18,72,182795,32,19,71,8.5122,24,90,74,13,4.442,44.641
2024,Indonesia,75,72,199238,8,45,21,11.0048,36,11,65,36,3.472,45.774
2020,Finland,89,13,67537,87,36,16,5.0646,45,92,16,49,5.584,31.067
2030,China,95,85,152140,52,54,44,14.8965,45,100,77,25,6.584,95.609
2018,China,67,51,108064,16,99,90,5.7319,61,13,28,18,1.682,76.858
2026,Czech Republic,80,95,180634,35,91,4,13.0635,83,56,64,41,5.339,50.288
2016,Guatemala,85,15,98261,24,12,71,7.606,90,90,41,15,1.431,57.988
2017,Brazil,59,81,67679,95,54,62,7.6581,22,92,86,27,1.292,70.582
2027,Portugal,88,83,161188,50,59,16,13.5681,14,95,1,21,4.265,98.352
2024,Japan,82,76,65580,27,80,15,9.2082,16,34,23,21,1.895,75.457
2024,Greece,64,66,49061,65,2,67,5.0448,69,76,8,40,1.072,27.841
2016,China,96,60,169420,27,92,45,6.4426,97,57,57,19,2.565,59.891
2023,Russia,66,5,196476,77,11,1,8.3176,81,56,24,31,5.087,22.435
2020,Ivory Coast,1,1,97319,53,96,35,14.9825,92,54,53,14,4.088,41.179
2018,Colombia,41,45,32250,15,96,16,13.9836,79,74,87,34,6.817,93.004
2026,Indonesia,81,11,195743,22,100,96,7.7418,69,30,66,24,6.48,61.626
