Year,Country,Maternal Mortality Rate ,Skilled Birth Attendants,Healthcare Access,Income Level,Education Level %,Maternal Health Services %,Contraceptive Prevalence %,Antenatal Care %,Health Expenditure %,Urbanization Rate %,Nutrition Level %,Sanitation Facilities %,Age of Mother,Birth Rate %,Female Literacy Rate %
2021,Poland,339,7766,274,5067,54,89,70,68,13.5117,39,21,70,35,6.677,53.604
2015,Argentina,1189,8324,175,64176,20,62,44,59,3.9461,51,27,62,50,5.58,87.707
2027,Sweden,1259,7119,226,24667,100,67,75,100,9.2532,61,19,65,26,6.129,45.209
2017,Russia,1040,8417,82,61523,41,56,99,48,12.0694,71,10,77,32,3.265,76.958
2027,Philippines,176,7122,159,77466,79,70,43,64,11.7782,65,28,77,20,6.169,47.596
2016,Indonesia,41,7562,310,60964,85,74,41,60,14.3831,32,35,60,17,3.423,46.831
2030,Philippines,270,246,397,19945,65,50,94,55,13.8079,80,46,72,14,4.341,63.359
2015,Indonesia,127,9997,251,9101,65,54,48,70,3.3289,46,49,74,28,5.895,82.876
2023,China,660,5938,195,97309,100,63,47,50,14.2941,39,21,82,19,4.703,89.654
2027,Peru,614,4113,409,63735,83,58,70,55,3.4045,86,14,81,25,6.733,54.614
2029,Russia,873,6927,283,48877,25,61,96,77,4.6248,90,31,76,45,2.408,69.008
2029,China,723,1437,80,52027,74,62,35,92,11.6835,38,33,62,27,6.969,69.256
2016,France,1134,5656,261,64711,42,97,39,72,10.075,38,35,85,19,4.826,45.408
2023,Japan,740,4240,126,95086,24,88,67,88,3.1032,34,10,80,21,4.455,85.502
2025,Portugal,820,1660,331,86228,86,69,87,84,10.2796,72,13,74,18,5.202,52.022
2024,Vietnam,941,8519,32,54946,55,57,34,74,3.5465,87,36,68,45,4.93,75.53
2018,Chile,947,6529,394,79629,15,56,61,45,14.902,37,49,66,19,2.314,70.039
2025,Sweden,885,2961,308,22554,97,55,41,68,13.8798,42,26,63,19,2.093,70.892
2020,China,557,4528,75,54244,48,76,44,46,10.8416,59,49,75,28,1.588,62.27
2015,Russia,377,1826,42,15894,32,54,100,100,13.3753,78,44,71,30,5.851,76.702
2018,Latvia,151,2552,223,62995,60,84,79,50,14.8095,44,19,75,14,1.597,59.289
2021,China,185,3662,31,94361,46,53,35,64,11.4236,60,43,71,50,5.424,41.366
2027,Indonesia,583,5427,371,15849,76,95,71,40,12.6037,58,43,78,33,2.704,72.934
2024,China,626,4979,301,41698,38,80,73,96,11.6562,41,22,71,47,6.488,41.638
2021,Nigeria,1162,2501,494,11357,47,82,44,96,5.4392,89,36,78,44,1.117,47.641
2025,Brazil,36,3322,13,57983,25,78,79,85,5.5025,34,47,70,27,6.288,51.344
2029,Portugal,554,4280,61,90392,96,74,90,94,14.0975,63,33,85,40,5.846,47.753
2021,Czech Republic,73,7004,447,95744,72,92,48,75,13.6639,90,22,60,18,4.65,64.489
2020,China,119,6784,286,65852,69,91,72,61,7.3848,81,34,89,41,2.985,82.749
2026,Russia,618,5953,385,76171,70,75,53,52,8.6183,36,43,78,23,1.651,42.831
2023,Macedonia,777,4633,17,97376,75,74,33,50,7.923,62,30,84,15,1.059,72.706
2021,Greece,254,9137,101,76042,59,74,44,62,8.2262,52,38,83,41,3.845,54.405
2016,Kenya,926,9589,298,7583,83,57,32,42,7.7032,85,34,76,42,3.7,66.678
2016,China,730,7887,426,92501,45,58,43,76,6.8749,73,14,64,50,3.979,55.691
2025,Tanzania,79,1898,382,17158,66,72,43,83,10.3244,42,17,84,15,3.973,84.868
2025,France,1183,8987,221,87977,31,86,78,50,8.2229,70,22,65,37,5.572,80.807
2016,Portugal,688,5477,326,78774,27,98,98,93,6.1914,78,49,65,43,5.445,70.694
2017,Peru,744,1679,244,6522,22,86,67,51,12.0429,90,25,68,25,1.071,66.182
2015,China,1057,7074,498,17702,57,52,82,97,14.5569,45,22,80,24,5.093,89.351
2021,China,615,9374,35,95852,85,73,33,47,5.6576,51,40,63,31,2.133,67.298
2021,Philippines,742,4971,167,55392,66,83,60,68,8.546,62,41,90,18,1.819,79.295
2024,Colombia,877,6739,27,58067,32,97,96,79,3.9614,83,26,75,21,3.754,69.143
2022,Indonesia,607,8135,16,56740,22,91,89,71,5.0605,83,39,81,17,3.657,75.5
2027,China,345,3797,152,41847,32,61,83,51,13.1629,72,25,84,28,6.475,86.275
2021,Greece,1291,2010,258,75554,92,65,74,54,3.936,90,31,75,31,4.623,46.163
2029,China,1237,2207,150,67976,23,55,46,74,4.4067,71,41,79,39,4.725,82.428
2020,United States,1154,5687,158,27863,87,77,31,48,10.9614,72,15,62,45,6.363,79.092
2015,France,1291,2946,70,40990,22,77,88,84,9.0689,54,41,77,20,2.31,78.791
2024,Mexico,989,130,258,37385,68,60,50,73,13.7254,76,23,82,43,3.039,77.752
2019,Sweden,644,4956,145,15622,15,56,32,53,9.768,44,50,63,13,5.014,66.965
2026,Indonesia,755,8229,248,59865,61,72,65,85,14.2604,76,23,62,44,2.085,78.258
2022,Poland,1246,7283,130,23385,28,86,69,78,13.0338,75,38,75,48,4.458,66.614
2022,Honduras,1040,3386,336,8718,90,74,78,95,8.6504,39,21,89,38,3.963,53.531
2024,Indonesia,267,8362,314,40359,26,66,60,86,6.1696,88,14,79,31,6.924,54.626
2021,Central African Republic,352,4724,47,18122,10,85,86,56,10.2357,37,13,61,43,3.009,69.588
2022,China,1077,7235,29,52480,63,64,60,51,13.4608,58,41,70,31,4.301,57.948
2029,China,1189,1596,359,59063,33,97,33,46,7.6237,58,28,62,49,3.71,71.698
2020,China,508,761,422,93575,81,99,82,74,12.9581,84,25,81,35,3.864,80.881
2020,Sweden,1192,2158,233,17553,35,73,67,87,14.285,90,25,74,19,2.294,66.617
2016,United States,1040,4144,458,39750,76,80,100,94,14.8236,69,33,71,13,5.589,44.919
2028,Bangladesh,542,3844,241,50959,28,91,60,71,8.7981,46,10,89,46,2.267,83.017
2018,Indonesia,107,6266,493,59706,92,77,32,96,10.7088,69,39,79,31,1.75,56.186
2029,Poland,6,5280,213,29153,11,91,52,96,13.992,59,33,67,31,1.363,81.571
2016,Indonesia,105,4500,453,90122,14,67,80,85,9.9518,51,21,87,29,2.732,64.999
2027,Indonesia,224,3278,23,69862,22,100,65,76,8.2594,83,19,71,33,5.58,73.037
2019,Czech Republic,46,117,230,79387,14,99,55,49,4.9736,69,35,82,43,2.103,68.593
2023,Argentina,1113,103,143,57520,29,96,34,100,7.4727,49,26,74,21,4.565,72.551
2015,China,1227,4832,132,57333,37,81,48,80,6.5601,79,24,73,19,1.27,48.279
2018,Mexico,1223,3712,498,64106,61,71,55,54,13.5131,53,13,80,16,4.94,60.583
2030,China,390,5563,441,95461,48,83,66,95,6.5697,55,45,77,48,2.459,46.971
